schedule_season,team,regular_season_mean_score,playoff_mean_score,regular_season_z_score,playoff_z_score
1972,Arizona Cardinals,13.79,,-1.3869132408689713,
1972,Atlanta Falcons,19.21,,-0.22369568401112352,
1972,Buffalo Bills,18.36,,-0.40611910159953163,
1972,Chicago Bears,16.07,,-0.8975892501612419,
1972,Cincinnati Bengals,21.36,,0.23772825459484886,
1972,Cleveland Browns,19.14,14.0,-0.23871878898899246,-0.1028058457638118
1972,Dallas Cowboys,22.79,16.5,0.5446288277141702,0.23097936775505787
1972,Denver Broncos,23.21,,0.6347674575813838,
1972,Detroit Lions,24.21,,0.8493832429795106,
1972,Green Bay Packers,21.71,3.0,0.31284377948419356,-1.5714607852468383
1972,Indianapolis Colts,16.79,,-0.7430658846745908,
1972,Kansas City Chiefs,20.5,,0.053158679152459906,
1972,Las Vegas Raiders,26.07,7.0,1.2485686038200263,-1.037404443616647
1972,Los Angeles Chargers,18.86,,-0.2988112089004682,
1972,Los Angeles Rams,20.79,,0.11539725691791651,
1972,Miami Dolphins,27.5,18.33,1.5554691769393476,0.47531014405087024
1972,Minnesota Vikings,21.5,,0.26777446455058673,
1972,New England Patriots,13.71,,-1.404082503700821,
1972,New Orleans Saints,15.36,,-1.049966457793912,
1972,New York Giants,23.64,,0.7270522453025783,
1972,New York Jets,26.21,,1.2786148137757642,
1972,Philadelphia Eagles,10.36,,-2.1230453847845463,
1972,Pittsburgh Steelers,24.5,15.0,0.9116218207449672,0.030708239643736066
1972,San Francisco 49ers,25.21,28.0,1.0639990283776375,1.7663913499418584
1972,Tennessee Titans,11.71,,-1.8333140744970746,
1972,Washington Commanders,24.0,16.33,0.8043139280459038,0.20828197323577452
1973,Arizona Cardinals,20.43,,0.22236708867549382,
1973,Atlanta Falcons,22.71,,0.7411361172738119,
1973,Buffalo Bills,18.5,,-0.21676634342746817,
1973,Chicago Bears,13.93,,-1.2565797033811141,
1973,Cincinnati Bengals,20.43,16.0,0.22236708867549382,-0.7493743327695352
1973,Cleveland Browns,16.71,,-0.6240455369322877,
1973,Dallas Cowboys,27.29,18.5,1.7832247799844676,-0.18720304036928367
1973,Denver Broncos,25.29,,1.3281642285824344,
1973,Detroit Lions,19.36,,-0.021090306324594014,
1973,Green Bay Packers,14.43,,-1.1428145655306057,
1973,Indianapolis Colts,16.14,,-0.7537377940818673,
1973,Kansas City Chiefs,16.5,,-0.6718268948295013,
1973,Las Vegas Raiders,20.86,21.5,0.3202051072269309,0.4874025105110182
1973,Los Angeles Chargers,13.43,,-1.3703448412316224,
1973,Los Angeles Rams,27.71,16.0,1.8787874957788948,-0.7493743327695352
1973,Miami Dolphins,24.5,28.33,1.1484153107786315,2.023254481348505
1973,Minnesota Vikings,21.14,20.33,0.38391358442321577,0.22430634566770008
1973,New England Patriots,18.43,,-0.23269346272653937,
1973,New Orleans Saints,11.64,,-1.7776240347364418,
1973,New York Giants,16.14,,-0.7537377940818673,
1973,New York Jets,17.14,,-0.5262075183808506,
1973,Philadelphia Eagles,22.14,,0.6114438601242324,
1973,Pittsburgh Steelers,24.79,14.0,1.214399090731926,-1.1991113666897364
1973,San Francisco 49ers,18.71,,-0.16898498553025448,
1973,Tennessee Titans,14.21,,-1.192871226184829,
1973,Washington Commanders,23.21,20.0,0.8549012551243202,0.15009973507086727
1974,Arizona Cardinals,20.36,14.0,0.500406262938768,-0.6256581843073411
1974,Atlanta Falcons,7.93,,-2.355851173595161,
1974,Buffalo Bills,18.86,14.0,0.15572515635784337,-0.6256581843073411
1974,Chicago Bears,10.86,,-1.6825740787404215,
1974,Cincinnati Bengals,20.21,,0.46593815228067587,
1974,Cleveland Browns,17.93,,-0.057977129722329844,
1974,Dallas Cowboys,21.21,,0.695725556667959,
1974,Denver Broncos,21.57,,0.7784490222473808,
1974,Detroit Lions,18.29,,0.024746335857091937,
1974,Green Bay Packers,15.0,,-0.7312542245770692,
1974,Indianapolis Colts,13.57,,-1.059850212850884,
1974,Kansas City Chiefs,16.64,,-0.35440288138192483,
1974,Las Vegas Raiders,25.36,20.5,1.6493432848751834,0.5501360182218139
1974,Los Angeles Chargers,15.14,,-0.6990839879628495,
1974,Los Angeles Rams,18.79,14.5,0.1396400380507335,-0.535212476420483
1974,Miami Dolphins,23.36,26.0,1.1897684761006173,1.5450388049772528
1974,Minnesota Vikings,22.14,16.67,0.9094278427481322,-0.14267810419151866
1974,New England Patriots,24.86,,1.5344495826815419,
1974,New Orleans Saints,11.86,,-1.4527866743531384,
1974,New York Giants,13.93,,-0.9771267472714622,
1974,New York Jets,19.93,,0.40159767905223637,
1974,Philadelphia Eagles,17.29,,-0.20504106853019116,
1974,Pittsburgh Steelers,21.79,24.0,0.8290022512125828,1.1832559734298205
1974,San Francisco 49ers,16.14,,-0.4692965835755664,
1974,Tennessee Titans,16.86,,-0.30384965241672285,
1974,Washington Commanders,22.86,10.0,1.0748747739069757,-1.3492238474022058
1975,Arizona Cardinals,25.43,23.0,0.9396952907741933,0.4874087244227499
1975,Atlanta Falcons,17.14,,-0.6699520347719371,
1975,Buffalo Bills,30.0,,1.827040076992024,
1975,Chicago Bears,13.64,,-1.3495377572582408,
1975,Cincinnati Bengals,24.29,28.0,0.7183445125929401,1.3672078659800604
1975,Cleveland Browns,15.57,,-0.9747947731443648,
1975,Dallas Cowboys,25.0,23.67,0.8562033305830189,0.6053018093914299
1975,Denver Broncos,18.14,,-0.47578468549013603,
1975,Detroit Lions,17.5,,-0.6000517890304888,
1975,Green Bay Packers,16.14,,-0.8641193840537381,
1975,Indianapolis Colts,28.21,10.0,1.4794805217776004,-1.8000690436262574
1975,Kansas City Chiefs,20.14,,-0.08744998692653398,
1975,Las Vegas Raiders,26.79,20.5,1.2037628857974427,0.04750915364409469
1975,Los Angeles Chargers,13.5,,-1.376721186157693,
1975,Los Angeles Rams,22.29,21.0,0.330009814029338,0.13548906779982575
1975,Miami Dolphins,25.5,,0.9532870052239194,
1975,Minnesota Vikings,26.93,14.0,1.2309463146968949,-1.096229730380409
1975,New England Patriots,18.43,,-0.4194761541984139,
1975,New Orleans Saints,11.79,,-1.708747353429573,
1975,New York Giants,15.43,,-1.001978202043817,
1975,New York Jets,18.43,,-0.4194761541984139,
1975,Philadelphia Eagles,16.07,,-0.8777110985034642,
1975,Pittsburgh Steelers,26.64,21.67,1.1746377834051727,0.2533821527685056
1975,San Francisco 49ers,18.21,,-0.4621929710404099,
1975,Tennessee Titans,20.93,,0.06594221900608868,
1975,Washington Commanders,23.21,,0.5086437753685953,
1976,Arizona Cardinals,22.07,,0.5844568217146402,
1976,Atlanta Falcons,12.29,,-1.3754703893842706,
1976,Buffalo Bills,17.5,,-0.33137828613014736,
1976,Chicago Bears,18.07,,-0.21714939959370774,
1976,Cincinnati Bengals,23.93,,0.9572037146230218,
1976,Cleveland Browns,19.07,,-0.01674784426662076,
1976,Dallas Cowboys,21.14,12.0,0.39808337526044935,-1.3288433118777494
1976,Denver Broncos,22.5,,0.6706294905052875,
1976,Detroit Lions,18.71,,-0.08889240418437196,
1976,Green Bay Packers,15.57,,-0.7181532879114252,
1976,Indianapolis Colts,29.79,14.0,2.1315568288397513,-0.9684790239109021
1976,Kansas City Chiefs,20.71,,0.31191070646980196,
1976,Las Vegas Raiders,25.0,26.67,1.171633378823005,1.3144287403590758
1976,Los Angeles Chargers,17.71,,-0.2892939595114589,
1976,Los Angeles Rams,25.07,13.5,1.185661487695901,-1.0585700959026139
1976,Miami Dolphins,18.79,,-0.07286027975820535,
1976,Minnesota Vikings,21.79,24.33,0.5283443862230556,0.8928025234378638
1976,New England Patriots,26.86,21.0,1.5443802717313866,0.29279598397306345
1976,New Orleans Saints,18.07,,-0.21714939959370774,
1976,New York Giants,12.14,,-1.4055306226833333,
1976,New York Jets,12.07,,-1.4195587315562295,
1976,Philadelphia Eagles,11.79,,-1.4756711670478142,
1976,Pittsburgh Steelers,24.43,23.5,1.0574044922865653,0.7432513439316225
1976,San Francisco 49ers,19.29,,0.027340497905338143,
1976,Seattle Seahawks,16.36,,-0.5598360592030266,
1976,Tampa Bay Buccaneers,8.93,,-2.048819615283283,
1976,Tennessee Titans,15.86,,-0.6600368368665701,
1976,Washington Commanders,20.79,20.0,0.3279428308959686,0.11261383998963978
1977,Arizona Cardinals,19.43,,0.518701350768643,
1977,Atlanta Falcons,12.79,,-1.0088917925056515,
1977,Buffalo Bills,11.43,,-1.3217723158268924,
1977,Chicago Bears,18.21,7.0,0.23802911661282414,-1.2287907549477326
1977,Cincinnati Bengals,17.0,,-0.04034252545975079,
1977,Cleveland Browns,19.21,,0.46808832493726604,
1977,Dallas Cowboys,24.64,29.0,1.7173098261389856,0.9932083498586065
1977,Denver Broncos,19.57,21.33,0.550909639934065,0.21853866195566896
1977,Detroit Lions,13.07,,-0.9444752141748075,
1977,Green Bay Packers,9.57,,-1.7496824433103542,
1977,Indianapolis Colts,21.07,31.0,0.895998452420728,1.1952082684773646
1977,Kansas City Chiefs,16.07,,-0.2542975892014817,
1977,Las Vegas Raiders,25.07,27.0,1.8162352857184956,0.7912084312398484
1977,Los Angeles Chargers,15.86,,-0.3026100229496147,
1977,Los Angeles Rams,21.57,7.0,1.0110280565829488,-1.2287907549477326
1977,Miami Dolphins,22.36,,1.1927748311592579,
1977,Minnesota Vikings,16.5,10.0,-0.15537212962197175,-0.9257908770195955
1977,New England Patriots,19.86,,0.617626810348153,
1977,New Orleans Saints,16.57,,-0.13926798503926074,
1977,New York Giants,12.93,,-0.9766835033402295,
1977,New York Jets,13.64,,-0.8133414654298755,
1977,Philadelphia Eagles,15.71,,-0.33711890419828067,
1977,Pittsburgh Steelers,20.21,21.0,0.698147533261708,0.18520867538357405
1977,San Francisco 49ers,15.71,,-0.33711890419828067,
1977,Seattle Seahawks,20.14,,0.6820433886789969,
1977,Tampa Bay Buccaneers,7.36,,-2.258113293707371,
1977,Tennessee Titans,21.36,,0.9627156228348159,
1977,Washington Commanders,14.0,,-0.7305201504330766,
1978,Arizona Cardinals,15.5,,-0.9456290140445165,
1978,Atlanta Falcons,15.0,17.0,-1.1125117342843152,-0.004120997722222421
1978,Buffalo Bills,18.88,,0.1824981747765216,
1978,Chicago Bears,15.81,,-0.8421617274958412,
1978,Cincinnati Bengals,15.75,,-0.8621876539246172,
1978,Cleveland Browns,20.88,,0.850029055735716,
1978,Dallas Cowboys,24.0,28.67,1.8913772300320595,1.410350867522989
1978,Denver Broncos,17.62,10.0,-0.23804628022777016,-0.8525617052386302
1978,Detroit Lions,18.12,,-0.07116355998797158,
1978,Green Bay Packers,15.56,,-0.9256030876157405,
1978,Indianapolis Colts,14.94,,-1.132537660713091,
1978,Kansas City Chiefs,15.19,,-1.0490963005931917,
1978,Las Vegas Raiders,19.44,,0.3694068214450968,
1978,Los Angeles Chargers,22.19,,1.287261782763989,
1978,Los Angeles Rams,19.75,17.0,0.4728741079937715,-0.004120997722222421
1978,Miami Dolphins,23.25,9.0,1.6410531496723615,-0.973767520598117
1978,Minnesota Vikings,18.38,10.0,0.015615454536723021,-0.8525617052386302
1978,New England Patriots,22.38,14.0,1.3506772164551117,-0.3677384438006829
1978,New Orleans Saints,17.56,,-0.25807220665654673,
1978,New York Giants,16.5,,-0.6118635735649194,
1978,New York Jets,22.44,,1.3707031428838883,
1978,Philadelphia Eagles,16.88,13.0,-0.48503270618267275,-0.4889442591601697
1978,Pittsburgh Steelers,22.25,34.0,1.3072877091927644,2.0563778633890535
1978,San Francisco 49ers,13.69,,-1.5497444613125875,
1978,Seattle Seahawks,21.56,,1.076989555261842,
1978,Tampa Bay Buccaneers,15.06,,-1.092485807855539,
1978,Tennessee Titans,17.69,17.67,-0.21468269939419826,0.07708689856863396
1978,Washington Commanders,17.06,,-0.42495492689634534,
1979,Arizona Cardinals,19.19,,-0.25111257793929054,
1979,Atlanta Falcons,18.75,,-0.3774378927703261,
